,limite_credito,educacao,estado_civil,idade,status_pagamento_mes_09,status_pagamento_mes_08,status_pagamento_mes_07,status_pagamento_mes_06,status_pagamento_mes_05,status_pagamento_mes_04,fatura_mes_09,fatura_mes_08,fatura_mes_07,fatura_mes_06,fatura_mes_05,fatura_mes_04,pago_mes_09,pago_mes_08,pago_mes_07,pago_mes_06,pago_mes_05,pago_mes_04,media_3_meses,media_6_meses,IU,Prediction
0,10808.1,1,1,30,-1,-1,-2,-2,-1,-1,3.96,-6.77,-14.99,-14.99,71.55,0,0,17.22,0,86.54,0,157.37,-5.933333333333334,6.46,-0.0005489709878085264,0.10361897337462604
1,9367.02,1,1,23,-1,-1,-2,-2,-2,-2,4.97,0,0,0,0,0,0,0,0,0,0,0,1.6566666666666665,0.8283333333333333,0.0001768616557524876,0.11825007525894979
2,10087.56,2,0,33,1,-1,-1,-2,-2,-2,0,60.53,0,0,0,0,60.53,0,0,0,0,0,20.176666666666666,10.088333333333333,0.002000153324160319,0.23818273418747843
3,7205.4,2,1,29,-2,-2,-2,-2,-2,-2,28.1,28.1,28.1,56.2,0,43.16,28.1,28.1,56.2,0,43.16,0,28.100000000000005,30.61,0.003899852888111695,0.09449049557319542
4,17292.96,1,0,50,-1,-1,-1,-1,-1,-1,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,0.0017457971336312583,0.3447530409583475
5,15131.34,1,0,35,-1,-1,2,0,-1,-1,28.53,85.6,57.07,28.53,28.53,28.53,85.6,0,0,28.53,28.53,28.53,57.06666666666666,42.798333333333325,0.003771421874511224,0.40353035407417615
6,14410.8,2,0,34,-1,-1,-1,-1,-1,-1,361.93,44.53,43.59,223.22,58,155.2,44.75,43.81,224.38,72.27,155.92,87.19,150.01666666666668,147.745,0.010410016561652836,0.12980082443586957
7,2161.62,1,0,30,-1,2,-1,-1,-1,-1,359.84,63.84,67.51,0,78.03,244.62,0,72.05,28.68,78.03,244.62,531.97,163.73,135.64,0.07574411783754777,0.17469905870958735
8,14410.8,2,0,38,-1,-1,-1,-1,-1,-1,445.73,52.96,105.42,1120.44,363.51,483.41,52.96,105.42,1120.44,363.51,483.41,217.68,201.37,428.5783333333334,0.01397354761706498,0.05973090316275447
9,21616.2,1,1,31,-1,-1,-1,-1,0,-1,241.02,78.03,312.64,534.86,292.47,180.71,78.32,313.8,534.86,0,180.71,298.38,210.56333333333336,273.28833333333336,0.009740996721594607,0.04574450144463918
10,12969.72,1,0,30,1,-1,-1,-1,0,0,114.64,10.81,636.53,1409.74,1021.01,649.71,10.81,638.18,1409.74,36.17,216.16,195.05,253.99333333333334,640.4066666666668,0.019583563356289368,0.036130354991616875
11,12969.72,2,1,28,1,2,2,0,0,0,272,401.34,340.24,622.76,560.8,893.33,144.47,2.23,360.27,72.05,360.27,360.27,337.85999999999996,515.0783333333333,0.026049907014183804,0.3773113072217916
12,3602.7,0,1,42,2,0,0,0,0,2,350.47,423.39,497.03,569.95,625.5,605.04,90.21,91.8,92.66,76.16,0,22.05,423.62999999999994,511.8966666666667,0.11758680989258055,0.8732508836448679
13,15851.88,1,0,40,0,0,-2,-1,0,0,1579.42,0,0,414.45,610.87,672.7,0,0,414.45,216.16,72.05,144.11,526.4733333333334,546.2400000000001,0.03321204382908106,0.008340338633287717
14,25939.44,1,1,33,0,0,0,0,0,0,515.69,608.57,650.94,600.93,226.54,0,144.11,108.15,72.05,64.85,0,0,591.7333333333335,433.77833333333336,0.02281210902522697,0.02121718514169749
15,10808.1,1,1,35,0,0,0,-1,-1,-1,309.9,594.16,926.97,58.87,78.9,100.37,288.22,364.88,59.16,79.26,100.37,273.52,610.3433333333334,344.8616666666667,0.05647091841612618,0.020519947320253154
16,8646.48,2,1,28,0,0,0,2,2,0,516.19,676.08,1194.01,1196.6,1155.96,1180.17,181.22,555.03,43.23,0,42.87,43.16,795.4266666666666,986.5016666666667,0.09199427589801476,0.1993857572923183
17,18013.5,1,0,47,-1,-1,-1,-1,-1,-1,773.5,1379.62,302.05,428.51,392.91,0,1388.41,302.05,429.87,392.91,0,0,818.39,546.0983333333334,0.04543203708329863,0.010974440669980622
18,12969.72,2,1,28,-2,-2,-2,-2,-2,-2,184.89,522.75,1799.48,1819.8,2134.74,1280.04,522.75,1804.45,1819.8,2134.74,1280.04,499.48,835.7066666666666,1290.2833333333333,0.06443521268513636,0.00033449524607987916
19,1441.08,1,0,61,1,2,2,2,3,2,933.89,984.83,947.15,1082.47,1045.5,998.24,87.11,0,150.38,0,39.63,0,955.29,998.68,0.6628986593388292,0.860581373742613
20,1441.08,0,0,48,0,0,3,2,5,4,778.54,1100.26,1062.08,1310.52,1270.31,1209.07,360.27,0,288.22,0,0,0,980.2933333333334,1121.7966666666664,0.6802490724549182,0.8001245945894918
21,3602.7,1,1,40,0,0,0,0,0,0,1054.37,931.01,1005.66,1203.52,1228.66,1253.09,87.76,90.36,216.16,44.46,44.75,46.33,997.0133333333333,1112.7183333333332,0.27674059270362045,0.13632050548117797
22,3602.7,0,1,47,0,0,0,0,0,0,1082.18,1154.74,1243.44,3016.76,1671.72,1341.86,91,107.65,1808.92,52.46,46.91,44.96,1160.1200000000001,1585.1166666666668,0.32201404502178926,0.0694068904117503
23,15131.34,2,1,27,0,0,0,0,0,0,1327.96,1427.32,1547.86,1665.74,1688.73,1794.14,144.11,144.11,144.11,72.05,144.11,144.11,1434.3799999999999,1575.2916666666663,0.09479530563717423,0.013433204684465407
24,10808.1,1,1,30,0,0,-2,-2,-2,-2,4726.09,0,0,0,0,0,0,0,0,0,0,0,1575.3633333333335,787.6816666666667,0.1457576570658426,0.04721455518137429
25,2161.62,0,0,47,2,2,2,2,2,2,2022.77,2054.62,1956.27,2024.72,2025.01,2030.55,129.7,0,165.72,86.46,93.67,0,2011.22,2018.9899999999998,0.930422553455279,0.8787807355657695
26,10808.1,1,1,27,0,0,0,0,0,-1,907.38,2845.7,2422.17,1766.69,767.81,2173.73,2739.35,86.68,2.95,186.4,2261.2,794.54,2058.4166666666665,1813.9133333333332,0.19045129732947202,0.07809259663540846
27,2161.62,0,1,49,0,0,2,0,0,0,2005.84,2213.14,2112.77,2018.59,2061.46,2081.21,239.94,0,82.72,86.1,65.57,72.05,2110.5833333333335,2082.168333333333,0.9763896213642239,0.14437052906942277
28,2161.62,1,1,32,0,0,0,0,0,0,2124.15,2190.01,2022.7,2081.28,2110.25,1658.11,103.11,113.77,101.02,57.93,52.74,131.14,2112.2866666666664,2031.0833333333333,0.9771776106191961,0.11152147518231058
29,5764.32,0,0,52,0,0,2,2,0,0,1967.65,2128.19,2288.15,2229.78,2293.48,0,216.16,216.16,0,122.49,0,0,2127.9966666666664,1817.875,0.36916699049786733,0.25950815138210204
